sale_id,customer_id,product_id,quantity,price_per_unit,total_amount,sale_date
SALE4086,CUST064,PROD025,3,31.48,94.44,2024-02-06
SALE9905,CUST039,PROD017,3,371.25,1113.75,2024-01-22
SALE8641,CUST044,PROD025,1,31.48,31.48,2024-01-13
SALE7168,CUST068,PROD010,3,68.21,204.63,2024-02-10
SALE7371,CUST086,PROD034,3,50.39,151.17,2024-01-08
SALE7891,CUST083,PROD042,1,487.25,487.25,2024-02-06
SALE3739,CUST026,PROD034,3,50.39,151.17,2024-02-25
SALE1876,CUST070,PROD037,1,110.3,110.3,2024-02-02
SALE2460,CUST022,PROD021,2,250.8,501.6,2024-01-06
SALE6622,CUST004,PROD030,3,340.0,1020.0,2024-01-30
SALE4735,CUST055,PROD009,3,367.17,1101.51,2024-01-03
SALE9434,CUST031,PROD040,1,61.16,61.16,2024-02-05
SALE6342,CUST006,PROD002,4,24.4,97.6,2024-01-28
SALE9195,CUST079,PROD006,2,214.62,429.24,2024-02-18
SALE3551,CUST051,PROD002,3,24.4,73.2,2024-01-11
SALE7316,CUST044,PROD005,2,276.25,552.5,2024-01-26
SALE9915,CUST097,PROD020,1,269.49,269.49,2024-01-12
SALE3048,CUST090,PROD014,4,283.12,1132.48,2024-02-07
SALE2828,CUST011,PROD036,1,279.08,279.08,2024-02-12
SALE4744,CUST006,PROD050,4,419.3,1677.2,2024-01-10
SALE1260,CUST023,PROD010,4,68.21,272.84,2024-01-02
SALE3060,CUST040,PROD002,4,24.4,97.6,2024-01-01
SALE2342,CUST073,PROD017,1,371.25,371.25,2024-01-11
SALE4490,CUST094,PROD031,1,243.85,243.85,2024-01-05
SALE1235,CUST050,PROD014,1,283.12,283.12,2024-02-25
SALE4530,CUST009,PROD034,4,50.39,201.56,2024-02-04
SALE3560,CUST040,PROD022,4,197.86,791.44,2024-01-29
SALE9007,CUST011,PROD041,1,465.81,465.81,2024-01-14
SALE7941,CUST035,PROD021,1,250.8,250.8,2024-01-05
SALE3898,CUST078,PROD026,2,479.48,958.96,2024-01-04
SALE1600,CUST042,PROD025,2,31.48,62.96,2024-02-09
SALE7943,CUST051,PROD038,1,473.37,473.37,2024-01-23
SALE5670,CUST015,PROD033,1,46.23,46.23,2024-01-17
SALE2248,CUST066,PROD014,1,283.12,283.12,2024-02-09
SALE5018,CUST039,PROD006,2,214.62,429.24,2024-01-03
SALE2202,CUST072,PROD042,4,487.25,1949.0,2024-02-21
SALE6742,CUST029,PROD033,4,46.23,184.92,2024-01-30
SALE1922,CUST036,PROD029,2,478.62,957.24,2024-02-26
SALE2120,CUST027,PROD033,2,46.23,92.46,2024-01-04
SALE3645,CUST066,PROD010,1,68.21,68.21,2024-02-28
SALE2865,CUST097,PROD038,1,473.37,473.37,2024-01-31
SALE7371,CUST088,PROD015,1,123.11,123.11,2024-01-08
SALE3371,CUST076,PROD045,2,369.83,739.66,2024-01-27
SALE1094,CUST036,PROD036,2,279.08,558.16,2024-02-12
SALE3116,CUST020,PROD011,2,128.76,257.52,2024-01-10
SALE7166,CUST047,PROD026,2,479.48,958.96,2024-02-12
SALE3443,CUST090,PROD013,4,434.22,1736.88,2024-01-18
SALE1984,CUST097,PROD047,4,354.39,1417.56,2024-02-29
SALE4531,CUST100,PROD048,4,484.48,1937.92,2024-01-05
SALE4876,CUST072,PROD042,1,487.25,487.25,2024-01-28
SALE7024,CUST051,PROD029,2,478.62,957.24,2024-02-09
SALE4368,CUST086,PROD011,3,128.76,386.28,2024-01-01
SALE6732,CUST021,PROD026,2,479.48,958.96,2024-02-05
SALE4030,CUST057,PROD001,3,468.64,1405.92,2024-02-23
SALE5662,CUST040,PROD015,1,123.11,123.11,2024-02-16
SALE8112,CUST053,PROD009,2,367.17,734.34,2024-02-21
SALE7456,CUST026,PROD041,3,465.81,1397.43,2024-02-21
SALE1536,CUST090,PROD011,2,128.76,257.52,2024-01-02
SALE9070,CUST082,PROD027,2,424.34,848.68,2024-01-27
SALE4600,CUST043,PROD044,3,32.66,97.98,2024-02-20
SALE2205,CUST024,PROD025,3,31.48,94.44,2024-02-21
SALE4572,CUST088,PROD033,1,46.23,46.23,2024-01-29
SALE5757,CUST026,PROD028,2,180.68,361.36,2024-01-21
SALE1966,CUST081,PROD020,1,269.49,269.49,2024-02-18
SALE5243,CUST086,PROD028,3,180.68,542.04,2024-02-09
SALE7704,CUST071,PROD001,4,468.64,1874.56,2024-01-13
SALE3482,CUST056,PROD019,2,191.98,383.96,2024-02-01
SALE3717,CUST029,PROD049,1,345.57,345.57,2024-01-29
SALE9477,CUST016,PROD040,3,61.16,183.48,2024-01-18
SALE1768,CUST078,PROD047,2,354.39,708.78,2024-01-02
SALE7645,CUST092,PROD049,2,345.57,691.14,2024-01-30
SALE6797,CUST051,PROD004,1,483.95,483.95,2024-01-08
SALE9038,CUST003,PROD032,2,249.05,498.1,2024-01-10
SALE7305,CUST097,PROD023,3,152.33,456.99,2024-01-28
SALE4462,CUST093,PROD008,1,290.08,290.08,2024-02-26
SALE6954,CUST088,PROD023,3,152.33,456.99,2024-01-08
SALE8221,CUST067,PROD033,4,46.23,184.92,2024-02-16
SALE8970,CUST096,PROD024,2,54.49,108.98,2024-02-01
SALE3538,CUST016,PROD004,4,483.95,1935.8,2024-02-06
SALE7612,CUST014,PROD031,3,243.85,731.55,2024-02-17
SALE7150,CUST074,PROD007,1,286.42,286.42,2024-01-23
SALE5242,CUST019,PROD036,1,279.08,279.08,2024-02-29
SALE5177,CUST002,PROD001,3,468.64,1405.92,2024-01-05
SALE7035,CUST011,PROD042,3,487.25,1461.75,2024-01-02
SALE5566,CUST012,PROD020,1,269.49,269.49,2024-02-06
SALE2279,CUST094,PROD009,2,367.17,734.34,2024-02-22
SALE8083,CUST099,PROD022,4,197.86,791.44,2024-01-24
SALE3679,CUST059,PROD046,3,275.23,825.69,2024-02-01
SALE3768,CUST081,PROD014,1,283.12,283.12,2024-02-09
SALE5033,CUST025,PROD039,1,391.74,391.74,2024-02-23
SALE2301,CUST004,PROD026,2,479.48,958.96,2024-01-29
SALE9996,CUST075,PROD006,2,214.62,429.24,2024-01-21
SALE6475,CUST041,PROD038,2,473.37,946.74,2024-01-17
SALE6796,CUST025,PROD038,2,473.37,946.74,2024-01-12
SALE2622,CUST086,PROD021,3,250.8,752.4,2024-02-26
SALE1645,CUST091,PROD040,2,61.16,122.32,2024-01-12
SALE7136,CUST053,PROD007,2,286.42,572.84,2024-02-14
SALE3969,CUST085,PROD028,2,180.68,361.36,2024-02-27
SALE4629,CUST064,PROD002,4,24.4,97.6,2024-02-23
SALE2386,CUST065,PROD036,3,279.08,837.24,2024-01-26
SALE5124,CUST021,PROD011,4,128.76,515.04,2024-01-11
SALE8679,CUST036,PROD049,3,345.57,1036.71,2024-02-08
SALE2333,CUST098,PROD047,4,354.39,1417.56,2024-02-23
SALE7212,CUST056,PROD033,2,46.23,92.46,2024-02-05
SALE9942,CUST020,PROD019,3,191.98,575.94,2024-02-21
SALE8101,CUST098,PROD009,2,367.17,734.34,2024-01-02
SALE2524,CUST073,PROD009,4,367.17,1468.68,2024-01-17
SALE6760,CUST089,PROD043,4,497.99,1991.96,2024-02-11
SALE8970,CUST003,PROD050,1,419.3,419.3,2024-02-13
SALE9363,CUST051,PROD030,2,340.0,680.0,2024-02-03
SALE7667,CUST019,PROD037,4,110.3,441.2,2024-02-28
SALE5090,CUST049,PROD017,2,371.25,742.5,2024-02-26
SALE8982,CUST012,PROD016,4,341.52,1366.08,2024-01-19
SALE6895,CUST095,PROD021,1,250.8,250.8,2024-01-23
SALE6604,CUST080,PROD006,4,214.62,858.48,2024-01-25
SALE7609,CUST089,PROD012,3,292.37,877.11,2024-02-28
SALE4993,CUST026,PROD047,4,354.39,1417.56,2024-01-10
SALE5806,CUST017,PROD023,2,152.33,304.66,2024-01-21
SALE4157,CUST007,PROD014,3,283.12,849.36,2024-02-22
SALE8686,CUST009,PROD048,4,484.48,1937.92,2024-02-19
SALE2500,CUST082,PROD031,2,243.85,487.7,2024-02-21
SALE4042,CUST018,PROD042,3,487.25,1461.75,2024-01-17
SALE8693,CUST031,PROD024,3,54.49,163.47,2024-02-13
SALE8980,CUST098,PROD003,1,211.88,211.88,2024-02-12
SALE3983,CUST090,PROD023,4,152.33,609.32,2024-02-08
SALE8694,CUST004,PROD029,2,478.62,957.24,2024-01-25
SALE8564,CUST082,PROD033,4,46.23,184.92,2024-02-14
SALE9502,CUST099,PROD042,2,487.25,974.5,2024-01-30
SALE5346,CUST013,PROD013,2,434.22,868.44,2024-02-01
SALE4810,CUST039,PROD046,4,275.23,1100.92,2024-01-29
SALE3032,CUST093,PROD044,1,32.66,32.66,2024-01-16
SALE4511,CUST010,PROD030,1,340.0,340.0,2024-02-08
SALE5435,CUST005,PROD001,2,468.64,937.28,2024-02-18
SALE3050,CUST045,PROD014,4,283.12,1132.48,2024-01-30
SALE3033,CUST068,PROD018,2,122.93,245.86,2024-02-06
SALE8832,CUST048,PROD001,1,468.64,468.64,2024-02-15
SALE3632,CUST015,PROD049,1,345.57,345.57,2024-01-24
SALE2828,CUST061,PROD037,3,110.3,330.9,2024-02-29
SALE5805,CUST039,PROD046,4,275.23,1100.92,2024-01-11
SALE2868,CUST098,PROD025,3,31.48,94.44,2024-02-21
SALE6690,CUST072,PROD020,1,269.49,269.49,2024-02-23
SALE4564,CUST074,PROD043,2,497.99,995.98,2024-02-26
SALE3265,CUST041,PROD049,2,345.57,691.14,2024-01-03
SALE4845,CUST005,PROD005,2,276.25,552.5,2024-02-16
SALE1726,CUST049,PROD009,3,367.17,1101.51,2024-01-20
SALE2913,CUST061,PROD042,3,487.25,1461.75,2024-02-19
SALE8312,CUST088,PROD003,4,211.88,847.52,2024-02-04
SALE5876,CUST089,PROD009,4,367.17,1468.68,2024-01-14
SALE2380,CUST098,PROD011,1,128.76,128.76,2024-02-25
SALE8490,CUST092,PROD029,1,478.62,478.62,2024-01-03
SALE6016,CUST098,PROD012,2,292.37,584.74,2024-01-09
SALE1954,CUST098,PROD024,4,54.49,217.96,2024-01-15
SALE5133,CUST072,PROD005,4,276.25,1105.0,2024-01-26
SALE9228,CUST060,PROD048,1,484.48,484.48,2024-01-28
SALE5036,CUST077,PROD017,2,371.25,742.5,2024-02-09
SALE1317,CUST093,PROD003,4,211.88,847.52,2024-02-09
SALE7183,CUST091,PROD013,1,434.22,434.22,2024-02-02
SALE5311,CUST019,PROD016,4,341.52,1366.08,2024-01-28
SALE2704,CUST013,PROD043,1,497.99,497.99,2024-01-25
SALE5286,CUST027,PROD038,4,473.37,1893.48,2024-01-07
SALE1556,CUST058,PROD031,3,243.85,731.55,2024-02-11
SALE8561,CUST032,PROD043,1,497.99,497.99,2024-01-30
SALE4998,CUST082,PROD036,2,279.08,558.16,2024-01-14
SALE9780,CUST093,PROD012,3,292.37,877.11,2024-01-02
SALE6343,CUST013,PROD046,3,275.23,825.69,2024-02-18
SALE3064,CUST095,PROD034,4,50.39,201.56,2024-01-24
SALE2007,CUST070,PROD019,2,191.98,383.96,2024-01-07
SALE6352,CUST096,PROD034,3,50.39,151.17,2024-01-28
SALE1571,CUST079,PROD030,1,340.0,340.0,2024-01-29
SALE1277,CUST068,PROD020,4,269.49,1077.96,2024-02-05
SALE2265,CUST068,PROD027,4,424.34,1697.36,2024-01-17
SALE9073,CUST065,PROD022,2,197.86,395.72,2024-02-25
SALE7353,CUST050,PROD014,4,283.12,1132.48,2024-02-16
SALE9476,CUST076,PROD036,3,279.08,837.24,2024-02-04
SALE6043,CUST076,PROD007,1,286.42,286.42,2024-01-11
SALE8813,CUST079,PROD032,3,249.05,747.15,2024-01-11
SALE4356,CUST004,PROD017,3,371.25,1113.75,2024-01-13
SALE1038,CUST015,PROD029,1,478.62,478.62,2024-01-11
SALE8027,CUST032,PROD002,3,24.4,73.2,2024-01-14
SALE4155,CUST022,PROD011,3,128.76,386.28,2024-01-03
SALE3896,CUST056,PROD028,1,180.68,180.68,2024-01-21
SALE7446,CUST080,PROD037,3,110.3,330.9,2024-01-20
SALE2682,CUST057,PROD005,3,276.25,828.75,2024-02-28
SALE8424,CUST058,PROD038,3,473.37,1420.11,2024-02-03
SALE2980,CUST035,PROD049,1,345.57,345.57,2024-01-24
SALE6390,CUST080,PROD027,4,424.34,1697.36,2024-02-29
SALE7573,CUST089,PROD017,1,371.25,371.25,2024-02-22
SALE9711,CUST079,PROD027,2,424.34,848.68,2024-02-19
SALE7342,CUST003,PROD029,4,478.62,1914.48,2024-02-13
SALE9884,CUST024,PROD003,4,211.88,847.52,2024-02-15
SALE1526,CUST025,PROD030,2,340.0,680.0,2024-01-07
SALE2875,CUST100,PROD009,2,367.17,734.34,2024-02-17
SALE8099,CUST063,PROD022,2,197.86,395.72,2024-02-22
SALE1116,CUST002,PROD024,4,54.49,217.96,2024-01-11
SALE4788,CUST081,PROD008,1,290.08,290.08,2024-01-18
SALE2389,CUST095,PROD038,4,473.37,1893.48,2024-01-11
SALE6420,CUST089,PROD033,4,46.23,184.92,2024-02-07
SALE4496,CUST008,PROD011,2,128.76,257.52,2024-02-20
SALE7731,CUST046,PROD032,3,249.05,747.15,2024-01-16
SALE3720,CUST074,PROD040,4,61.16,244.64,2024-02-19
SALE9032,CUST002,PROD033,1,46.23,46.23,2024-02-10
SALE2949,CUST033,PROD013,4,434.22,1736.88,2024-01-26
SALE1917,CUST066,PROD038,3,473.37,1420.11,2024-01-26
SALE2709,CUST015,PROD034,2,50.39,100.78,2024-02-24
SALE9619,CUST049,PROD040,3,61.16,183.48,2024-01-03
SALE1634,CUST006,PROD009,2,367.17,734.34,2024-01-09
SALE1552,CUST076,PROD008,4,290.08,1160.32,2024-02-19
SALE4389,CUST084,PROD047,3,354.39,1063.17,2024-01-07
SALE1458,CUST084,PROD016,4,341.52,1366.08,2024-01-06
SALE1021,CUST026,PROD003,3,211.88,635.64,2024-02-10
SALE8867,CUST014,PROD011,2,128.76,257.52,2024-02-23
SALE8179,CUST087,PROD012,1,292.37,292.37,2024-01-25
SALE2266,CUST019,PROD046,4,275.23,1100.92,2024-02-14
SALE2927,CUST093,PROD032,3,249.05,747.15,2024-02-13
SALE4665,CUST070,PROD018,3,122.93,368.79,2024-01-22
SALE5644,CUST096,PROD041,3,465.81,1397.43,2024-01-03
SALE9946,CUST035,PROD029,2,478.62,957.24,2024-01-15
SALE1352,CUST007,PROD012,1,292.37,292.37,2024-01-30
SALE1158,CUST058,PROD024,4,54.49,217.96,2024-02-06
SALE4453,CUST020,PROD024,2,54.49,108.98,2024-02-18
SALE5703,CUST036,PROD034,4,50.39,201.56,2024-02-05
SALE2394,CUST058,PROD012,3,292.37,877.11,2024-02-14
SALE1529,CUST040,PROD021,3,250.8,752.4,2024-02-02
SALE4591,CUST100,PROD048,2,484.48,968.96,2024-01-23
SALE1525,CUST078,PROD002,3,24.4,73.2,2024-02-06
SALE5648,CUST062,PROD047,2,354.39,708.78,2024-02-25
SALE3278,CUST089,PROD020,2,269.49,538.98,2024-02-08
SALE4216,CUST089,PROD028,2,180.68,361.36,2024-02-04
SALE5356,CUST065,PROD040,4,61.16,244.64,2024-02-25
SALE8062,CUST047,PROD031,3,243.85,731.55,2024-01-10
SALE1629,CUST014,PROD016,2,341.52,683.04,2024-01-29
SALE6897,CUST076,PROD030,1,340.0,340.0,2024-01-01
SALE7276,CUST020,PROD008,3,290.08,870.24,2024-01-12
SALE7656,CUST057,PROD020,4,269.49,1077.96,2024-02-26
SALE4178,CUST037,PROD047,1,354.39,354.39,2024-01-12
SALE4568,CUST044,PROD028,3,180.68,542.04,2024-01-15
SALE2925,CUST061,PROD020,2,269.49,538.98,2024-01-14
SALE1968,CUST037,PROD020,2,269.49,538.98,2024-01-29
SALE7262,CUST035,PROD006,1,214.62,214.62,2024-02-22
SALE6178,CUST069,PROD033,1,46.23,46.23,2024-02-20
SALE2229,CUST012,PROD042,4,487.25,1949.0,2024-02-22
SALE3289,CUST088,PROD043,2,497.99,995.98,2024-02-03
SALE8473,CUST029,PROD039,3,391.74,1175.22,2024-02-25
SALE7638,CUST043,PROD050,3,419.3,1257.9,2024-02-13
SALE7294,CUST045,PROD016,2,341.52,683.04,2024-02-11
SALE1891,CUST008,PROD050,1,419.3,419.3,2024-01-01
SALE7812,CUST096,PROD038,1,473.37,473.37,2024-02-16
SALE2198,CUST034,PROD001,3,468.64,1405.92,2024-02-24
SALE7089,CUST030,PROD050,2,419.3,838.6,2024-01-17
SALE8705,CUST008,PROD047,4,354.39,1417.56,2024-02-18
SALE1986,CUST072,PROD025,2,31.48,62.96,2024-01-04
SALE4072,CUST019,PROD031,4,243.85,975.4,2024-01-14
SALE4124,CUST048,PROD005,1,276.25,276.25,2024-01-26
SALE9125,CUST092,PROD002,2,24.4,48.8,2024-01-06
SALE1574,CUST073,PROD033,1,46.23,46.23,2024-01-25
SALE7924,CUST073,PROD013,3,434.22,1302.66,2024-02-10
SALE8114,CUST068,PROD034,1,50.39,50.39,2024-02-07
SALE2667,CUST019,PROD006,2,214.62,429.24,2024-01-18
SALE2000,CUST023,PROD019,1,191.98,191.98,2024-01-11
SALE4712,CUST088,PROD007,1,286.42,286.42,2024-01-21
SALE4726,CUST065,PROD012,2,292.37,584.74,2024-01-07
SALE3190,CUST021,PROD019,4,191.98,767.92,2024-01-29
SALE6592,CUST033,PROD049,4,345.57,1382.28,2024-02-18
SALE7059,CUST090,PROD011,3,128.76,386.28,2024-01-08
SALE8117,CUST074,PROD002,2,24.4,48.8,2024-01-09
SALE7228,CUST026,PROD008,4,290.08,1160.32,2024-01-02
SALE2177,CUST025,PROD012,1,292.37,292.37,2024-02-03
SALE5399,CUST037,PROD015,4,123.11,492.44,2024-02-05
SALE9234,CUST048,PROD023,2,152.33,304.66,2024-02-15
SALE7570,CUST021,PROD023,3,152.33,456.99,2024-02-24
SALE5431,CUST047,PROD015,1,123.11,123.11,2024-02-05
SALE9906,CUST051,PROD015,4,123.11,492.44,2024-01-21
SALE1140,CUST086,PROD019,2,191.98,383.96,2024-01-14
SALE7012,CUST068,PROD048,1,484.48,484.48,2024-02-21
SALE4610,CUST029,PROD047,4,354.39,1417.56,2024-02-04
SALE8311,CUST036,PROD030,2,340.0,680.0,2024-01-02
SALE7787,CUST090,PROD025,2,31.48,62.96,2024-01-11
SALE2286,CUST095,PROD044,2,32.66,65.32,2024-02-08
SALE8052,CUST031,PROD007,3,286.42,859.26,2024-02-25
SALE9105,CUST061,PROD042,4,487.25,1949.0,2024-02-05
SALE6203,CUST068,PROD007,2,286.42,572.84,2024-01-01
SALE6291,CUST045,PROD042,3,487.25,1461.75,2024-02-28
SALE7284,CUST022,PROD021,2,250.8,501.6,2024-01-28
SALE4097,CUST009,PROD015,2,123.11,246.22,2024-01-24
SALE6752,CUST042,PROD008,4,290.08,1160.32,2024-01-16
SALE2072,CUST026,PROD027,1,424.34,424.34,2024-01-04
SALE7807,CUST019,PROD036,4,279.08,1116.32,2024-02-08
SALE4273,CUST089,PROD018,3,122.93,368.79,2024-02-05
SALE4040,CUST055,PROD050,1,419.3,419.3,2024-02-16
SALE1482,CUST098,PROD033,3,46.23,138.69,2024-01-21
SALE9853,CUST048,PROD037,3,110.3,330.9,2024-02-04
SALE1987,CUST071,PROD032,3,249.05,747.15,2024-01-10
SALE2100,CUST057,PROD025,2,31.48,62.96,2024-02-04
SALE5358,CUST085,PROD018,3,122.93,368.79,2024-02-11
SALE7780,CUST039,PROD041,1,465.81,465.81,2024-01-11
SALE3349,CUST019,PROD004,2,483.95,967.9,2024-02-07
SALE7764,CUST036,PROD040,1,61.16,61.16,2024-02-02
SALE8843,CUST003,PROD009,4,367.17,1468.68,2024-02-02
SALE6189,CUST041,PROD039,4,391.74,1566.96,2024-01-13
SALE7704,CUST060,PROD002,4,24.4,97.6,2024-01-05
SALE3475,CUST027,PROD032,1,249.05,249.05,2024-01-08
SALE8397,CUST072,PROD050,3,419.3,1257.9,2024-02-23
SALE8979,CUST058,PROD003,2,211.88,423.76,2024-01-06
SALE6249,CUST087,PROD044,2,32.66,65.32,2024-02-07
SALE4874,CUST098,PROD023,2,152.33,304.66,2024-02-21
SALE1661,CUST044,PROD036,1,279.08,279.08,2024-01-13
SALE4374,CUST055,PROD016,2,341.52,683.04,2024-01-30
SALE1632,CUST055,PROD016,4,341.52,1366.08,2024-01-17
SALE4719,CUST084,PROD003,4,211.88,847.52,2024-01-30
SALE1236,CUST023,PROD028,3,180.68,542.04,2024-02-09
SALE7099,CUST065,PROD030,1,340.0,340.0,2024-01-20
SALE5037,CUST022,PROD018,4,122.93,491.72,2024-02-08
SALE5895,CUST033,PROD016,4,341.52,1366.08,2024-02-07
SALE3785,CUST014,PROD036,1,279.08,279.08,2024-01-23
SALE7257,CUST066,PROD041,1,465.81,465.81,2024-01-02
SALE3496,CUST075,PROD003,4,211.88,847.52,2024-01-23
SALE2689,CUST068,PROD018,3,122.93,368.79,2024-01-06
SALE2442,CUST022,PROD043,3,497.99,1493.97,2024-01-22
SALE6435,CUST012,PROD047,1,354.39,354.39,2024-02-11
SALE9785,CUST045,PROD035,2,303.21,606.42,2024-01-24
SALE8629,CUST006,PROD003,4,211.88,847.52,2024-01-07
SALE8693,CUST073,PROD015,1,123.11,123.11,2024-02-04
SALE7721,CUST091,PROD002,3,24.4,73.2,2024-01-18
SALE8373,CUST020,PROD018,4,122.93,491.72,2024-01-10
SALE6656,CUST066,PROD025,1,31.48,31.48,2024-02-23
SALE5259,CUST095,PROD014,1,283.12,283.12,2024-02-15
SALE5917,CUST052,PROD003,3,211.88,635.64,2024-02-10
SALE8045,CUST025,PROD013,1,434.22,434.22,2024-02-03
SALE3964,CUST098,PROD004,1,483.95,483.95,2024-01-15
SALE8340,CUST060,PROD012,4,292.37,1169.48,2024-02-01
SALE9734,CUST078,PROD020,2,269.49,538.98,2024-01-29
SALE6947,CUST063,PROD006,4,214.62,858.48,2024-01-29
SALE5349,CUST002,PROD023,3,152.33,456.99,2024-01-31
SALE8154,CUST005,PROD019,2,191.98,383.96,2024-01-10
SALE7488,CUST002,PROD011,2,128.76,257.52,2024-01-31
SALE6175,CUST079,PROD009,3,367.17,1101.51,2024-01-19
SALE6448,CUST028,PROD046,3,275.23,825.69,2024-01-07
SALE9591,CUST097,PROD004,4,483.95,1935.8,2024-02-08
SALE6671,CUST017,PROD037,3,110.3,330.9,2024-02-29
SALE4292,CUST052,PROD036,4,279.08,1116.32,2024-02-07
SALE4302,CUST050,PROD037,4,110.3,441.2,2024-02-04
SALE2549,CUST071,PROD037,1,110.3,110.3,2024-01-22
SALE4716,CUST055,PROD002,2,24.4,48.8,2024-01-27
SALE7548,CUST079,PROD021,2,250.8,501.6,2024-01-23
SALE8993,CUST039,PROD005,1,276.25,276.25,2024-01-13
SALE7356,CUST090,PROD050,1,419.3,419.3,2024-01-21
SALE3385,CUST045,PROD032,4,249.05,996.2,2024-01-17
SALE5592,CUST060,PROD011,3,128.76,386.28,2024-01-21
SALE3355,CUST055,PROD026,2,479.48,958.96,2024-01-04
SALE9737,CUST052,PROD048,4,484.48,1937.92,2024-01-18
SALE5839,CUST099,PROD041,1,465.81,465.81,2024-02-21
SALE4493,CUST042,PROD021,2,250.8,501.6,2024-01-13
SALE3672,CUST064,PROD017,4,371.25,1485.0,2024-01-09
SALE9616,CUST001,PROD002,4,24.4,97.6,2024-02-17
SALE7172,CUST097,PROD010,2,68.21,136.42,2024-02-27
SALE9123,CUST021,PROD028,3,180.68,542.04,2024-02-24
SALE1775,CUST059,PROD022,4,197.86,791.44,2024-02-18
SALE1078,CUST017,PROD023,4,152.33,609.32,2024-02-14
SALE8083,CUST065,PROD023,1,152.33,152.33,2024-01-08
SALE5940,CUST072,PROD023,3,152.33,456.99,2024-01-01
SALE8788,CUST051,PROD024,3,54.49,163.47,2024-01-24
SALE2668,CUST020,PROD021,4,250.8,1003.2,2024-02-27
SALE1365,CUST100,PROD011,4,128.76,515.04,2024-01-15
SALE6330,CUST007,PROD028,3,180.68,542.04,2024-02-12
SALE9964,CUST094,PROD032,4,249.05,996.2,2024-01-10
